device_kind,model,context,batch_size,attention_share,mlp_share,online_speedup,adaptive_feature_speedup,adaptive_family_speedup,adaptive_score_speedup,oracle_speedup,online_gap_closed,adaptive_feature_gap_closed,adaptive_family_gap_closed,adaptive_score_gap_closed,simulation_report
gpu,gpt2,512,1,0.46556622690309973,0.5344337730969002,1.1431806630286658,1.1400200667907048,1.0,1.2964232555991906,1.2964232555991906,0.5477773107710164,0.5371707107116919,0.0,1.0,artifacts/reports/gpt2_gpu_ctx512_bs1_simulation_full.json
gpu,gpt2,768,1,0.4618628388412367,0.5381371611587633,1.161702609041029,1.161702609041029,1.161702609041029,1.3215814782275817,1.3215814782275817,0.5720381306007016,0.5720381306007016,0.5720381306007016,1.0,artifacts/reports/gpt2_gpu_ctx768_bs1_simulation_full.json
gpu,gpt2,960,1,0.4637199491878758,0.5362800508121243,1.1771065191617327,1.1771065191617327,1.1771065191617327,1.3408975250657695,1.3408975250657695,0.5918212072168908,0.5918212072168908,0.5918212072168908,1.0,artifacts/reports/gpt2_gpu_ctx960_bs1_simulation_full.json
gpu,gpt2,512,2,0.458500048428773,0.541499951571227,1.140744209856485,1.140744209856485,1.1366426204196518,1.2956350693351688,1.2956350693351688,0.5407157356994869,0.5407157356994869,0.526852432536763,1.0,artifacts/reports/gpt2_gpu_ctx512_bs2_simulation_full.json
gpu,opt-125m,256,1,0.8540266894362953,0.14597331056370466,1.0,1.0,1.0,1.0,1.2953830384185285,0.0,0.0,0.0,0.0,artifacts/reports/opt125m_gpu_ctx256_bs1_simulation_full.json
gpu,opt-125m,512,1,0.851649641340016,0.14835035865998397,1.2975217427852328,1.2963533963342122,1.2963533963342122,1.3475922080316245,1.3475922080316245,0.8889810922188249,0.8862881809197003,0.8862881809197003,1.0,artifacts/reports/opt125m_gpu_ctx512_bs1_simulation_full.json
gpu,opt-125m,512,2,0.8569093166000885,0.1430906833999115,1.3000491191457737,1.3000491191457737,1.3000491191457737,1.348445249676793,1.348445249676793,0.8931643172335482,0.8931643172335482,0.8931643172335482,1.0,artifacts/reports/opt125m_gpu_ctx512_bs2_simulation_full.json
gpu,qwen2.5-1.5b-instruct-4bit,256,1,0.542108255799185,0.457891744200815,1.0,1.0,1.0,1.0,1.2747433893298301,0.0,0.0,0.0,0.0,artifacts/reports/qwen_qwen2_5_1_5b_instruct_4bit_ctx256_bs1_latest_probe_simulation_full.json
gpu,qwen2.5-1.5b-instruct-4bit,512,1,0.5722354882611831,0.4277645117388169,1.1819510764213814,1.1819510764213814,1.1819510764213814,1.31020923178271,1.31020923178271,0.6501911676747479,0.6501911676747479,0.6501911676747479,1.0,artifacts/reports/qwen_qwen2_5_1_5b_instruct_4bit_ctx512_bs1_latest_probe_simulation_full.json
gpu,qwen2.5-1.5b-instruct-4bit,768,1,0.5388713699464782,0.4611286300535218,1.1940724407881351,1.1940724407881351,1.1940724407881351,1.3366167702158236,1.3366167702158236,0.6453634269158339,0.6453634269158339,0.6453634269158339,1.0,artifacts/reports/qwen_qwen2_5_1_5b_instruct_4bit_ctx768_bs1_latest_probe_simulation_full.json
gpu,qwen3-8b-4bit,256,1,0.5468671990085734,0.4531328009914266,1.1465088394947076,1.0,1.0,1.0,1.2746674123936999,0.5930293224965958,0.0,0.0,0.0,artifacts/reports/unsloth_qwen3_8b_unsloth_bnb_4bit_none_ctx256_bs1_qwen3_unsloth_probe_simulation_full.json
gpu,qwen3-8b-4bit,512,1,0.49639444934113186,0.5036055506588681,1.1541304399897376,1.1541304399897376,1.1541304399897376,1.300447211925384,1.300447211925384,0.5780402394032528,0.5780402394032528,0.5780402394032528,1.0,artifacts/reports/unsloth_qwen3_8b_unsloth_bnb_4bit_none_ctx512_bs1_qwen3_unsloth_probe_simulation_full.json
gpu,qwen3-8b-4bit,768,1,0.4742679685770365,0.5257320314229634,1.1667079925977148,1.1667079925977148,1.1667079925977148,1.3239325700981095,1.3239325700981095,0.5839901184934898,0.5839901184934898,0.5839901184934898,1.0,artifacts/reports/unsloth_qwen3_8b_unsloth_bnb_4bit_none_ctx768_bs1_qwen3_unsloth_probe_simulation_full.json
gpu,smollm2-1.7b-instruct-4bit,256,1,0.5436960612159484,0.45630393878405157,1.1460254828093297,1.0,1.1460254828093297,1.0,1.2751752749633796,0.5904659390768863,0.0,0.5904659390768863,0.0,artifacts/reports/huggingfacetb_smollm2_1_7b_instruct_4bit_ctx256_bs1_latest_probe_simulation_full.json
gpu,smollm2-1.7b-instruct-4bit,512,1,0.5560750708908304,0.44392492910916964,1.1764421585840066,1.1764421585840066,1.1764421585840066,1.3087717656376576,1.3087717656376576,0.6357086473398663,0.6357086473398663,0.6357086473398663,1.0,artifacts/reports/huggingfacetb_smollm2_1_7b_instruct_4bit_ctx512_bs1_latest_probe_simulation_full.json
