split_type,split_value,classifier,signal_family,accuracy,f1,roc_auc,positive_recall,false_positive_rate,num_points,positive_rate
context_bucket_held_out,long,logistic_regression,context_plus_attention,1.0,1.0,0.5,1.0,0.0,14.0,1.0
context_bucket_held_out,long,logistic_regression,kv_only,0.9285714285714286,0.9629629629629629,0.5,0.9285714285714286,0.0,14.0,1.0
context_bucket_held_out,long,logistic_regression,all_features,1.0,1.0,0.5,1.0,0.0,14.0,1.0
context_bucket_held_out,long,decision_tree,attention_only,0.7857142857142857,0.88,0.5,0.7857142857142857,0.0,14.0,1.0
context_bucket_held_out,long,decision_tree,context_only,1.0,1.0,0.5,1.0,0.0,14.0,1.0
context_bucket_held_out,long,decision_tree,context_plus_attention,1.0,1.0,0.5,1.0,0.0,14.0,1.0
context_bucket_held_out,long,decision_tree,kv_only,0.8571428571428571,0.9230769230769231,0.5,0.8571428571428571,0.0,14.0,1.0
context_bucket_held_out,long,decision_tree,all_features,1.0,1.0,0.5,1.0,0.0,14.0,1.0
context_bucket_held_out,mid,logistic_regression,attention_only,0.7777777777777778,0.875,0.5,0.7777777777777778,0.0,9.0,1.0
context_bucket_held_out,mid,logistic_regression,context_only,0.5555555555555556,0.7142857142857143,0.5,0.5555555555555556,0.0,9.0,1.0
context_bucket_held_out,mid,logistic_regression,context_plus_attention,0.5555555555555556,0.7142857142857143,0.5,0.5555555555555556,0.0,9.0,1.0
context_bucket_held_out,mid,logistic_regression,kv_only,0.6666666666666666,0.8,0.5,0.6666666666666666,0.0,9.0,1.0
context_bucket_held_out,mid,logistic_regression,all_features,0.7777777777777778,0.875,0.5,0.7777777777777778,0.0,9.0,1.0
context_bucket_held_out,mid,decision_tree,attention_only,0.7777777777777778,0.875,0.5,0.7777777777777778,0.0,9.0,1.0
context_bucket_held_out,mid,decision_tree,context_only,0.5555555555555556,0.7142857142857143,0.5,0.5555555555555556,0.0,9.0,1.0
context_bucket_held_out,mid,decision_tree,context_plus_attention,0.5555555555555556,0.7142857142857143,0.5,0.5555555555555556,0.0,9.0,1.0
context_bucket_held_out,mid,decision_tree,kv_only,0.7777777777777778,0.875,0.5,0.7777777777777778,0.0,9.0,1.0
context_bucket_held_out,mid,decision_tree,all_features,0.6666666666666666,0.8,0.5,0.6666666666666666,0.0,9.0,1.0
context_bucket_held_out,short,logistic_regression,attention_only,0.36363636363636365,0.5333333333333333,0.5,1.0,1.0,11.0,0.36363636363636365
context_bucket_held_out,short,logistic_regression,context_only,0.36363636363636365,0.5333333333333333,0.5,1.0,1.0,11.0,0.36363636363636365
context_bucket_held_out,short,logistic_regression,context_plus_attention,0.36363636363636365,0.5333333333333333,0.5,1.0,1.0,11.0,0.36363636363636365
context_bucket_held_out,short,logistic_regression,kv_only,0.36363636363636365,0.5333333333333333,0.5,1.0,1.0,11.0,0.36363636363636365
context_bucket_held_out,short,logistic_regression,all_features,0.36363636363636365,0.5333333333333333,0.5,1.0,1.0,11.0,0.36363636363636365
context_bucket_held_out,short,decision_tree,attention_only,0.36363636363636365,0.5333333333333333,0.5,1.0,1.0,11.0,0.36363636363636365
context_bucket_held_out,short,decision_tree,context_only,0.36363636363636365,0.5333333333333333,0.5,1.0,1.0,11.0,0.36363636363636365
context_bucket_held_out,short,decision_tree,context_plus_attention,0.36363636363636365,0.5333333333333333,0.5,1.0,1.0,11.0,0.36363636363636365
context_bucket_held_out,short,decision_tree,kv_only,0.36363636363636365,0.5333333333333333,0.5,1.0,1.0,11.0,0.36363636363636365
context_bucket_held_out,short,decision_tree,all_features,0.36363636363636365,0.5333333333333333,0.5,1.0,1.0,11.0,0.36363636363636365
